camis,inspection_date,dba,boro,zipcode,cuisine,score,grade,action,violation_count,critical_count,failed,latitude,longitude,yelp_rating,yelp_reviews,yelp_price,yelp_category,high_rating,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,food_complaints_total,rodent_complaints,food_safety_complaints,median_household_income,total_population,white_population,inspection_year,inspection_month,inspection_dow,inspection_quarter,is_weekend,prev_score,prev_failed,inspection_count,score_trend,grade_available,has_yelp,is_first_inspection,has_history,cuisine_grouped,yelp_category_primary,white_pct,score_bucket,has_location
40364467,2023-04-05,NYAC MAIN DINING ROOM,MANHATTAN,10019,American,8.0,A,Violations were cited in the following area(s).,2,1,0,40.766718222992,-73.978736594767,3.4,102.0,,"sports_clubs,social_clubs",0.0,11.720833333333331,13.6,9.4,0.4,0.4,0.0,14.8625,25.929166666666664,96.45833333333331,14.0,0.0,0.0,99880.0,1645867.0,842952.0,2023,4,2,2,0,-1.0,-1.0,1,0.0,1,1,1,0,American,sports_clubs,0.5121628904401145,A,1
40364467,2024-04-25,NYAC MAIN DINING ROOM,MANHATTAN,10019,American,25.0,,Violations were cited in the following area(s).,5,2,0,40.766718222992,-73.978736594767,3.4,102.0,,"sports_clubs,social_clubs",0.0,7.666666666666667,12.3,3.2,0.0,0.0,0.0,13.470833333333331,26.65416666666667,34.458333333333336,22.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,4,3,2,0,8.0,0.0,2,17.0,0,1,0,1,American,sports_clubs,0.5121628904401145,B,1
40364518,2024-01-26,7B BAR,MANHATTAN,10009,American,12.0,A,Violations were cited in the following area(s).,3,2,0,40.724984562415,-73.981282649047,3.4,224.0,1.0,"arcades,divebars",0.0,6.175,8.3,3.2,4.6,4.6,0.0,9.7625,18.108333333333334,93.91666666666669,12.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,1,4,1,0,-1.0,-1.0,1,0.0,1,1,1,0,American,arcades,0.5121628904401145,A,1
40364531,2023-04-07,CAFE ATELIER (ART STUDENTS LEAGUE),MANHATTAN,10019,American,26.0,,Violations were cited in the following area(s).,6,3,0,40.765886941316,-73.980895665472,4.4,70.0,,"coffee,cocktailbars,desserts",1.0,11.1875,13.9,6.8,0.0,0.0,0.0,16.079166666666666,27.958333333333332,98.54166666666669,12.0,0.0,0.0,99880.0,1645867.0,842952.0,2023,4,4,2,0,-1.0,-1.0,1,0.0,0,1,1,0,American,coffee,0.5121628904401145,B,1
40364531,2024-03-04,CAFE ATELIER (ART STUDENTS LEAGUE),MANHATTAN,10019,American,13.0,A,Violations were cited in the following area(s).,2,2,0,40.765886941316,-73.980895665472,4.4,70.0,,"coffee,cocktailbars,desserts",1.0,8.195833333333333,14.4,3.7,0.0,0.0,0.0,11.904166666666669,21.9625,52.625,12.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,3,0,1,0,26.0,0.0,2,-13.0,1,1,0,1,American,coffee,0.5121628904401145,A,1
40364572,2023-04-18,DONOHUE'S STEAK HOUSE,MANHATTAN,10065,Steakhouse,9.0,A,Violations were cited in the following area(s).,2,1,0,40.765512884509,-73.965769788003,3.6,152.0,2.0,"steak,tradamerican",0.0,11.266666666666666,14.4,7.1,0.1,0.1,0.0,23.295833333333334,42.420833333333334,29.583333333333332,21.0,0.0,0.0,99880.0,1645867.0,842952.0,2023,4,1,2,0,-1.0,-1.0,1,0.0,1,1,1,0,Other,steak,0.5121628904401145,A,1
40364572,2024-10-23,DONOHUE'S STEAK HOUSE,MANHATTAN,10065,Steakhouse,10.0,A,Violations were cited in the following area(s).,3,0,0,40.765512884509,-73.965769788003,3.6,152.0,2.0,"steak,tradamerican",0.0,17.695833333333333,25.4,10.9,0.0,0.0,0.0,11.075,19.7125,7.25,18.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,10,2,4,0,9.0,0.0,2,1.0,1,1,0,1,Other,steak,0.5121628904401145,A,1
40364581,2023-02-27,JUNIOR'S,BROOKLYN,11201,American,13.0,A,Violations were cited in the following area(s).,3,1,0,40.690200145894,-73.981624196473,3.7,2128.0,2.0,"bakeries,diners",0.0,1.5791666666666666,4.9,-2.2,3.8,0.1,2.59,13.191666666666668,25.041666666666668,61.5,13.0,0.0,0.0,74692.0,2679620.0,1082004.0,2023,2,0,1,0,-1.0,-1.0,1,0.0,1,1,1,0,American,bakeries,0.4037900896395757,A,1
40364581,2024-06-10,JUNIOR'S,BROOKLYN,11201,American,83.0,,Violations were cited in the following area(s).,13,6,1,40.690200145894,-73.981624196473,3.7,2128.0,2.0,"bakeries,diners",0.0,19.45,24.5,14.6,0.0,0.0,0.0,12.345833333333331,22.920833333333334,48.0,23.0,0.0,0.0,74692.0,2679620.0,1082004.0,2024,6,0,2,0,13.0,0.0,2,70.0,0,1,0,1,American,bakeries,0.4037900896395757,C,1
40364581,2024-07-01,JUNIOR'S,BROOKLYN,11201,American,13.0,A,Violations were cited in the following area(s).,3,1,0,40.690200145894,-73.981624196473,3.7,2128.0,2.0,"bakeries,diners",0.0,21.945833333333336,26.9,16.5,0.1,0.1,0.0,19.708333333333332,34.74166666666667,13.041666666666666,11.0,0.0,0.0,74692.0,2679620.0,1082004.0,2024,7,0,3,0,83.0,1.0,3,-70.0,1,1,0,1,American,bakeries,0.4037900896395757,A,1
