date,borough,food_complaints_total,rodent_complaints,food_safety_complaints
2023-04-01,MANHATTAN,12,0,0
2023-04-01,QUEENS,7,0,0
2023-04-01,STATEN ISLAND,1,0,0
2023-04-02,BRONX,4,0,0
2023-04-02,BROOKLYN,9,0,0
2023-04-02,MANHATTAN,14,0,0
2023-04-02,QUEENS,4,0,0
2023-04-03,BRONX,5,0,0
2023-04-03,BROOKLYN,10,0,0
2023-04-03,MANHATTAN,15,0,0
2023-04-03,QUEENS,6,0,0
2023-04-04,BRONX,2,0,0
2023-04-04,BROOKLYN,13,0,0
2023-04-04,MANHATTAN,21,0,0
2023-04-04,QUEENS,10,0,0
2023-04-04,STATEN ISLAND,1,0,0
2023-04-05,BRONX,3,0,0
2023-04-05,BROOKLYN,8,0,0
2023-04-05,MANHATTAN,14,0,0
2023-04-05,QUEENS,4,0,0
2023-04-05,STATEN ISLAND,1,0,0
2023-04-06,BRONX,2,0,0
2023-04-06,BROOKLYN,7,0,0
2023-04-06,MANHATTAN,20,0,0
2023-04-06,QUEENS,12,0,0
2023-04-07,BRONX,2,0,0
2023-04-07,BROOKLYN,15,0,0
2023-04-07,MANHATTAN,12,0,0
2023-04-07,QUEENS,8,0,0
2023-04-07,STATEN ISLAND,1,0,0
2023-04-08,BRONX,5,0,0
2023-04-08,BROOKLYN,9,0,0
2023-04-08,MANHATTAN,11,0,0
2023-04-08,QUEENS,10,0,0
2023-04-08,STATEN ISLAND,1,0,0
2023-04-09,BRONX,4,0,0
2023-04-09,BROOKLYN,6,0,0
2023-04-09,MANHATTAN,10,0,0
2023-04-09,QUEENS,4,0,0
2023-04-09,STATEN ISLAND,2,0,0
2023-04-10,BRONX,1,0,0
2023-04-10,BROOKLYN,9,0,0
2023-04-10,MANHATTAN,19,0,0
2023-04-10,QUEENS,9,0,0
2023-04-11,BRONX,5,0,0
2023-04-11,BROOKLYN,4,0,0
2023-04-11,MANHATTAN,10,0,0
2023-04-11,QUEENS,10,0,0
2023-04-11,STATEN ISLAND,2,0,0
2023-04-12,BRONX,5,0,0
2023-04-12,BROOKLYN,14,0,0
2023-04-12,MANHATTAN,20,0,0
2023-04-12,QUEENS,1,0,0
2023-04-12,STATEN ISLAND,1,0,0
2023-04-13,BRONX,4,0,0
2023-04-13,BROOKLYN,8,0,0
2023-04-13,MANHATTAN,23,0,0
2023-04-13,QUEENS,10,0,0
2023-04-13,STATEN ISLAND,1,0,0
2023-04-14,BRONX,5,0,0
2023-04-14,BROOKLYN,3,0,0
2023-04-14,MANHATTAN,15,0,0
2023-04-14,QUEENS,14,0,0
2023-04-15,BRONX,3,0,0
2023-04-15,BROOKLYN,11,0,0
2023-04-15,MANHATTAN,18,0,0
2023-04-15,QUEENS,3,0,0
2023-04-16,BRONX,4,0,0
2023-04-16,BROOKLYN,6,0,0
2023-04-16,MANHATTAN,11,0,0
2023-04-16,QUEENS,2,0,0
2023-04-16,STATEN ISLAND,3,0,0
2023-04-17,BRONX,8,0,0
2023-04-17,BROOKLYN,19,0,0
2023-04-17,MANHATTAN,19,0,0
2023-04-17,QUEENS,6,0,0
2023-04-18,BRONX,6,0,0
2023-04-18,BROOKLYN,14,0,0
2023-04-18,MANHATTAN,21,0,0
2023-04-18,QUEENS,8,0,0
2023-04-19,BRONX,1,0,0
2023-04-19,BROOKLYN,6,0,0
2023-04-19,MANHATTAN,14,0,0
2023-04-19,QUEENS,9,0,0
2023-04-20,BRONX,3,0,0
2023-04-20,BROOKLYN,11,0,0
2023-04-20,MANHATTAN,16,0,0
2023-04-20,QUEENS,10,0,0
2023-04-21,BRONX,6,0,0
2023-04-21,BROOKLYN,14,0,0
2023-04-21,MANHATTAN,12,0,0
2023-04-21,QUEENS,4,0,0
2023-04-21,STATEN ISLAND,1,0,0
2023-04-22,BRONX,3,0,0
2023-04-22,BROOKLYN,13,0,0
2023-04-22,MANHATTAN,17,0,0
2023-04-22,QUEENS,8,0,0
2023-04-22,STATEN ISLAND,3,0,0
2023-04-23,BRONX,3,0,0
2023-04-23,BROOKLYN,17,0,0
2023-04-23,MANHATTAN,13,0,0
2023-04-23,QUEENS,10,0,0
2023-04-23,STATEN ISLAND,1,0,0
2023-04-24,BRONX,5,0,0
2023-04-24,BROOKLYN,8,0,0
2023-04-24,MANHATTAN,17,0,0
2023-04-24,QUEENS,12,0,0
2023-04-25,BRONX,3,0,0
2023-04-25,BROOKLYN,12,0,0
2023-04-25,MANHATTAN,15,0,0
2023-04-25,QUEENS,14,0,0
2023-04-25,STATEN ISLAND,1,0,0
2023-04-26,BRONX,2,0,0
2023-04-26,BROOKLYN,11,0,0
2023-04-26,MANHATTAN,16,0,0
2023-04-26,QUEENS,11,0,0
2023-04-27,BRONX,4,0,0
2023-04-27,BROOKLYN,10,0,0
2023-04-27,MANHATTAN,12,0,0
2023-04-27,QUEENS,10,0,0
2023-04-27,STATEN ISLAND,1,0,0
2023-04-28,BRONX,3,0,0
2023-04-28,BROOKLYN,7,0,0
2023-04-28,MANHATTAN,18,0,0
2023-04-28,QUEENS,4,0,0
2023-04-29,BRONX,4,0,0
2023-04-29,BROOKLYN,8,0,0
2023-04-29,MANHATTAN,7,0,0
2023-04-29,QUEENS,6,0,0
2023-04-30,BROOKLYN,7,0,0
2023-04-30,MANHATTAN,8,0,0
2023-04-30,QUEENS,9,0,0
2023-05-01,BRONX,9,0,0
2023-05-01,BROOKLYN,15,0,0
2023-05-01,MANHATTAN,10,0,0
2023-05-01,QUEENS,12,0,0
2023-05-02,BRONX,3,0,0
2023-05-02,BROOKLYN,19,0,0
2023-05-02,MANHATTAN,10,0,0
2023-05-02,QUEENS,6,0,0
2023-05-02,STATEN ISLAND,1,0,0
2023-05-03,BRONX,4,0,0
2023-05-03,BROOKLYN,16,0,0
2023-05-03,MANHATTAN,19,0,0
2023-05-03,QUEENS,13,0,0
2023-05-03,STATEN ISLAND,2,0,0
2023-05-04,BRONX,5,0,0
2023-05-04,BROOKLYN,8,0,0
2023-05-04,MANHATTAN,16,0,0
2023-05-04,QUEENS,12,0,0
2023-05-05,BRONX,5,0,0
2023-05-05,BROOKLYN,12,0,0
2023-05-05,MANHATTAN,18,0,0
2023-05-05,QUEENS,5,0,0
2023-05-05,STATEN ISLAND,3,0,0
2023-05-06,BRONX,4,0,0
2023-05-06,BROOKLYN,11,0,0
2023-05-06,MANHATTAN,15,0,0
2023-05-06,QUEENS,10,0,0
2023-05-06,STATEN ISLAND,1,0,0
2023-05-07,BRONX,3,0,0
2023-05-07,BROOKLYN,11,0,0
2023-05-07,MANHATTAN,11,0,0
2023-05-07,QUEENS,8,0,0
2023-05-07,STATEN ISLAND,4,0,0
2023-05-08,BRONX,6,0,0
2023-05-08,BROOKLYN,30,0,0
2023-05-08,MANHATTAN,16,0,0
2023-05-08,QUEENS,17,0,0
2023-05-08,STATEN ISLAND,4,0,0
2023-05-09,BRONX,2,0,0
2023-05-09,BROOKLYN,11,0,0
2023-05-09,MANHATTAN,15,0,0
2023-05-09,QUEENS,6,0,0
2023-05-10,BRONX,4,0,0
2023-05-10,BROOKLYN,13,0,0
2023-05-10,MANHATTAN,19,0,0
2023-05-10,QUEENS,12,0,0
2023-05-10,STATEN ISLAND,1,0,0
2023-05-11,BRONX,6,0,0
2023-05-11,BROOKLYN,10,0,0
2023-05-11,MANHATTAN,16,0,0
2023-05-11,QUEENS,5,0,0
2023-05-11,STATEN ISLAND,2,0,0
2023-05-12,BRONX,3,0,0
2023-05-12,BROOKLYN,7,0,0
2023-05-12,MANHATTAN,17,0,0
2023-05-12,QUEENS,3,0,0
2023-05-12,STATEN ISLAND,2,0,0
2023-05-13,BROOKLYN,13,0,0
2023-05-13,MANHATTAN,17,0,0
2023-05-13,QUEENS,8,0,0
2023-05-13,STATEN ISLAND,3,0,0
2023-05-14,BRONX,3,0,0
2023-05-14,BROOKLYN,5,0,0
2023-05-14,MANHATTAN,6,0,0
2023-05-14,QUEENS,11,0,0
2023-05-14,STATEN ISLAND,1,0,0
2023-05-15,BRONX,2,0,0
2023-05-15,BROOKLYN,15,0,0
2023-05-15,MANHATTAN,17,0,0
2023-05-15,QUEENS,11,0,0
2023-05-15,STATEN ISLAND,4,0,0
2023-05-16,BRONX,6,0,0
2023-05-16,BROOKLYN,11,0,0
2023-05-16,MANHATTAN,12,0,0
2023-05-16,QUEENS,11,0,0
