feature,coefficient,abs_coefficient
yelp_category_primary_cheesesteaks,-0.02095451902650381,0.02095451902650381
yelp_category_primary_barbers,-0.02069024182515092,0.02069024182515092
yelp_category_primary_adultentertainment,-0.020554638689601255,0.020554638689601255
yelp_category_primary_lebanese,-0.020455407631817777,0.020455407631817777
yelp_category_primary_accountants,-0.0203849591958491,0.0203849591958491
yelp_category_primary_austrian,-0.020278510250006855,0.020278510250006855
yelp_category_primary_general_litigation,-0.02021000947152394,0.02021000947152394
yelp_category_primary_waffles,-0.019914614797516748,0.019914614797516748
yelp_category_primary_apartments,-0.01985701056528518,0.01985701056528518
yelp_category_primary_countryclubs,-0.01984555897890879,0.01984555897890879
yelp_category_primary_whiskeybars,-0.019783894839708407,0.019783894839708407
yelp_category_primary_gelato,-0.019385513777629815,0.019385513777629815
yelp_category_primary_sharedofficespaces,-0.01917448286472846,0.01917448286472846
yelp_category_primary_pianobars,-0.01909460271029074,0.01909460271029074
yelp_category_primary_korean,0.018938275301033373,0.018938275301033373
yelp_category_primary_boating,-0.01880318521298328,0.01880318521298328
yelp_category_primary_libraries,-0.018788416776664343,0.018788416776664343
yelp_category_primary_scandinavian,-0.01819952047860873,0.01819952047860873
yelp_category_primary_herbsandspices,-0.017775436477500257,0.017775436477500257
high_complaint_flag,0.017599442051898548,0.017599442051898548
yelp_category_primary_ukrainian,-0.01665041557242103,0.01665041557242103
yelp_category_primary_comedyclubs,-0.0153425425999396,0.0153425425999396
yelp_category_primary_artsupplies,-0.015023194854981622,0.015023194854981622
cuisine_grouped_Italian,0.014785595920676112,0.014785595920676112
yelp_category_primary_cantonese,-0.014379642158110875,0.014379642158110875
precipitation_sum,-0.013790291779021186,0.013790291779021186
yelp_category_primary_greek,0.012861437856045911,0.012861437856045911
poor_history_flag,-0.012309911845183569,0.012309911845183569
prev_failed,0.012024922515547019,0.012024922515547019
yelp_category_primary_poolhalls,-0.011790560511045795,0.011790560511045795
cloud_cover_mean,-0.011587679512957305,0.011587679512957305
boro_BROOKLYN,-0.009452898242059226,0.009452898242059226
white_pct,-0.008976119581734669,0.008976119581734669
boro_QUEENS,-0.008674889466746993,0.008674889466746993
rain_sum,-0.00828240257527468,0.00828240257527468
log_yelp_reviews,-0.0074865989308091,0.0074865989308091
yelp_category_primary_cocktailbars,0.0073511353787379255,0.0073511353787379255
food_safety_complaints,0.0,0.0
rodent_complaints,0.0,0.0
